wine_name,grape_name,wine_ratings_average,wine_ratings_count
Cabernet Sauvignon,Cabernet Sauvignon,4.8,2941
Amarone della Valpolicella Classico Riserva,Merlot,4.8,587
Amarone della Valpolicella Classico Riserva,Chardonnay,4.8,587
Fratini Bolgheri Superiore,Merlot,4.8,153
Fratini Bolgheri Superiore,Chardonnay,4.8,153
Special Selection Cabernet Sauvignon,Cabernet Sauvignon,4.7,41236
Toscana,Merlot,4.7,16284
Toscana,Chardonnay,4.7,16284
Amarone della Valpolicella Classico,Merlot,4.7,8900
Amarone della Valpolicella Classico,Chardonnay,4.7,8900
Amarone della Valpolicella Monte Lodoletta,Merlot,4.7,7947
Amarone della Valpolicella Monte Lodoletta,Chardonnay,4.7,7947
Harlan Estate Red,Cabernet Sauvignon,4.7,7231
Cerretalto Brunello di Montalcino,Merlot,4.7,5373
Cerretalto Brunello di Montalcino,Chardonnay,4.7,5373
Barolo Riserva Monfortino,Merlot,4.7,5013
Barolo Riserva Monfortino,Chardonnay,4.7,5013
IX Estate Red,Cabernet Sauvignon,4.7,2810
Veneto Alzero Cabernet,Merlot,4.7,2600
Veneto Alzero Cabernet,Chardonnay,4.7,2600
Harlequin,Merlot,4.7,1276
Harlequin,Chardonnay,4.7,1276
La Mattonara Amarone della Valpolicella Classico Riserva,Merlot,4.7,1196
La Mattonara Amarone della Valpolicella Classico Riserva,Chardonnay,4.7,1196
Recioto della Valpolicella Classico,Merlot,4.7,1045
Recioto della Valpolicella Classico,Chardonnay,4.7,1045
De Buris Amarone della Valpolicella Classico Riserva,Merlot,4.7,574
De Buris Amarone della Valpolicella Classico Riserva,Chardonnay,4.7,574
Fieramonte Amarone della Valpolicella Riserva,Merlot,4.7,315
Fieramonte Amarone della Valpolicella Riserva,Chardonnay,4.7,315
Permassimo,Merlot,4.7,186
Permassimo,Chardonnay,4.7,186
Cabernet Sauvignon,Cabernet Sauvignon,4.6,157944
Sassicaia,Merlot,4.6,107646
Sassicaia,Chardonnay,4.6,107646
Opus One,Cabernet Sauvignon,4.6,77053
Bolgheri Superiore,Merlot,4.6,47939
Bolgheri Superiore,Chardonnay,4.6,47939
Tenuta Tignanello 'Solaia',Merlot,4.6,33143
Tenuta Tignanello 'Solaia',Chardonnay,4.6,33143
Insignia,Cabernet Sauvignon,4.6,30674
Rutherford,Cabernet Sauvignon,4.6,16322
Cabernet Sauvignon (Signature),Cabernet Sauvignon,4.6,13730
'Giulio Ferrari' Riserva del Fondatore,Merlot,4.6,12592
'Giulio Ferrari' Riserva del Fondatore,Chardonnay,4.6,12592
Sperss Barolo,Merlot,4.6,10950
Sperss Barolo,Chardonnay,4.6,10950
Kurni Marche,Merlot,4.6,10261
Kurni Marche,Chardonnay,4.6,10261
CASK 23 Cabernet Sauvignon,Cabernet Sauvignon,4.6,9464
Continuum Estate,Cabernet Sauvignon,4.6,6949
Rubicon,Cabernet Sauvignon,4.6,6421
Cabernet Sauvignon,Cabernet Sauvignon,4.6,5927
Les Pavots,Cabernet Sauvignon,4.6,4010
Sorì Tildìn (Barbaresco) Langhe,Merlot,4.6,3955
Sorì Tildìn (Barbaresco) Langhe,Chardonnay,4.6,3955
Lodovico,Merlot,4.6,3860
Lodovico,Chardonnay,4.6,3860
Sorì San Lorenzo,Merlot,4.6,3857
Sorì San Lorenzo,Chardonnay,4.6,3857
Veneto Rosso del Bepi,Merlot,4.6,3747
Veneto Rosso del Bepi,Chardonnay,4.6,3747
Red,Cabernet Sauvignon,4.6,3639
Brunello di Montalcino Riserva,Merlot,4.6,3375
Brunello di Montalcino Riserva,Chardonnay,4.6,3375
Au Paradis Cabernet Sauvignon,Cabernet Sauvignon,4.6,3004
Campo del Titari Amarone della Valpolicella Classico Riserva,Merlot,4.6,2946
Campo del Titari Amarone della Valpolicella Classico Riserva,Chardonnay,4.6,2946
Costa Russi (Barbaresco) Langhe,Merlot,4.6,2876
Costa Russi (Barbaresco) Langhe,Chardonnay,4.6,2876
Calcarole Amarone della Valpolicella Classico,Merlot,4.6,2757
Calcarole Amarone della Valpolicella Classico,Chardonnay,4.6,2757
La Joie,Cabernet Sauvignon,4.6,2285
Campo Inferi Amarone della Valpolicella Classico Riserva,Merlot,4.6,2112
Campo Inferi Amarone della Valpolicella Classico Riserva,Chardonnay,4.6,2112
Tenuta Guado al Tasso Matarocchio,Merlot,4.6,1875
Tenuta Guado al Tasso Matarocchio,Chardonnay,4.6,1875
Brunello di Montalcino Riserva,Merlot,4.6,1589
Brunello di Montalcino Riserva,Chardonnay,4.6,1589
Maya,Cabernet Sauvignon,4.6,1570
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Cabernet Sauvignon,4.6,1557
Millecento Brunello di Montalcino Riserva,Merlot,4.6,1364
Millecento Brunello di Montalcino Riserva,Chardonnay,4.6,1364
Reserve,Cabernet Sauvignon,4.6,1175
L'Amarone del Maestro Fornaser,Merlot,4.6,1031
L'Amarone del Maestro Fornaser,Chardonnay,4.6,1031
Barolo Riserva Villero,Merlot,4.6,803
Barolo Riserva Villero,Chardonnay,4.6,803
Vin Santo di Montepulciano,Merlot,4.6,773
Vin Santo di Montepulciano,Chardonnay,4.6,773
Barolo Cerretta,Merlot,4.6,684
Barolo Cerretta,Chardonnay,4.6,684
Falletto Barolo Le Rocche del Falletto Riserva,Merlot,4.6,622
Falletto Barolo Le Rocche del Falletto Riserva,Chardonnay,4.6,622
Barolo Riserva Monprivato Cà d'Morissio,Merlot,4.6,588
Barolo Riserva Monprivato Cà d'Morissio,Chardonnay,4.6,588
Cabernet Sauvignon Coeur De Vallée,Cabernet Sauvignon,4.6,544
Ampio,Merlot,4.6,481
Ampio,Chardonnay,4.6,481
Octavius Amarone della Valpolicella Riserva,Merlot,4.6,450
Octavius Amarone della Valpolicella Riserva,Chardonnay,4.6,450
Perpiero,Merlot,4.6,351
Perpiero,Chardonnay,4.6,351
Barolo Arione,Merlot,4.6,259
Barolo Arione,Chardonnay,4.6,259
Recioto della Valpolicella (Monte Lodoletta),Merlot,4.6,227
Recioto della Valpolicella (Monte Lodoletta),Chardonnay,4.6,227
Croce Del Gal Riserva Amarone della Valpolicella Classico,Merlot,4.6,188
Croce Del Gal Riserva Amarone della Valpolicella Classico,Chardonnay,4.6,188
Bassolino di Sopra Brunello di Montalcino,Merlot,4.6,174
Bassolino di Sopra Brunello di Montalcino,Chardonnay,4.6,174
Cabernet Sauvignon,Cabernet Sauvignon,4.6,152
EABA,Cabernet Sauvignon,4.6,151
Lithology Cabernet Sauvignon,Cabernet Sauvignon,4.6,148
Bure Alto Amarone  della Valpolicella Classico Riserva,Merlot,4.6,132
Bure Alto Amarone  della Valpolicella Classico Riserva,Chardonnay,4.6,132
A50 Amarone della Valpolicella,Merlot,4.6,100
A50 Amarone della Valpolicella,Chardonnay,4.6,100
Secentenario,Merlot,4.6,96
Secentenario,Chardonnay,4.6,96
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,Merlot,4.6,94
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,Chardonnay,4.6,94
Nettare Veneto Bianco,Merlot,4.6,87
Nettare Veneto Bianco,Chardonnay,4.6,87
Aegusa,Merlot,4.6,81
Aegusa,Chardonnay,4.6,81
Grande Cuvée Luigi Moio,Merlot,4.6,80
Grande Cuvée Luigi Moio,Chardonnay,4.6,80
Dieci Brunello di Montalcino,Merlot,4.6,43
Dieci Brunello di Montalcino,Chardonnay,4.6,43
Glesie Climat,Merlot,4.6,37
Glesie Climat,Chardonnay,4.6,37
Tignanello,Merlot,4.5,142513
Tignanello,Chardonnay,4.5,142513
60 Sessantanni Old Vines Primitivo di Manduria,Merlot,4.5,94289
60 Sessantanni Old Vines Primitivo di Manduria,Chardonnay,4.5,94289
Tenuta Guado al Tasso Bolgheri Superiore,Merlot,4.5,33392
Tenuta Guado al Tasso Bolgheri Superiore,Chardonnay,4.5,33392
Papillon,Cabernet Sauvignon,4.5,30682
Brunello di Montalcino,Merlot,4.5,27452
Brunello di Montalcino,Chardonnay,4.5,27452
Barbaresco,Merlot,4.5,24516
Barbaresco,Chardonnay,4.5,24516
Dominus (Christian Moueix),Cabernet Sauvignon,4.5,22117
Flaccianello della Pieve,Merlot,4.5,21518
Flaccianello della Pieve,Chardonnay,4.5,21518
Ben Ryé Passito di Pantelleria,Merlot,4.5,21351
Ben Ryé Passito di Pantelleria,Chardonnay,4.5,21351
Tenuta Nuova Brunello di Montalcino,Merlot,4.5,20934
Tenuta Nuova Brunello di Montalcino,Chardonnay,4.5,20934
Isosceles,Cabernet Sauvignon,4.5,18920
Overture,Cabernet Sauvignon,4.5,16804
One Point Five Cabernet Sauvignon,Cabernet Sauvignon,4.5,16341
Valpolicella Superiore Monte Lodoletta,Merlot,4.5,13024
Valpolicella Superiore Monte Lodoletta,Chardonnay,4.5,13024
Valpolicella Classico Superiore,Merlot,4.5,12262
Valpolicella Classico Superiore,Chardonnay,4.5,12262
Monte Bello,Cabernet Sauvignon,4.5,11978
FAY Cabernet Sauvignon,Cabernet Sauvignon,4.5,10840
5 Stelle Sfursat,Merlot,4.5,10740
5 Stelle Sfursat,Chardonnay,4.5,10740
Amarone della Valpolicella Classico Riserva (Sergio Zenato),Merlot,4.5,9963
Amarone della Valpolicella Classico Riserva (Sergio Zenato),Chardonnay,4.5,9963
Limited Edition 10 Vendemmie,Merlot,4.5,9453
Limited Edition 10 Vendemmie,Chardonnay,4.5,9453
Cuvée Annamaria Clementi (Extra Brut),Merlot,4.5,7928
Cuvée Annamaria Clementi (Extra Brut),Chardonnay,4.5,7928
Brunello di Montalcino,Merlot,4.5,7883
Brunello di Montalcino,Chardonnay,4.5,7883
Poggio all'Oro Brunello di Montalcino Riserva,Merlot,4.5,7033
Poggio all'Oro Brunello di Montalcino Riserva,Chardonnay,4.5,7033
Amarone della Valpolicella Classico,Merlot,4.5,6669
Amarone della Valpolicella Classico,Chardonnay,4.5,6669
Relentless,Cabernet Sauvignon,4.5,6633
S.L.V. Cabernet Sauvignon,Cabernet Sauvignon,4.5,6560
Luce Brunello di Montalcino,Merlot,4.5,6544
Luce Brunello di Montalcino,Chardonnay,4.5,6544
Howell Mountain Cabernet Sauvignon,Cabernet Sauvignon,4.5,6466
Pietro Dal Cero Amarone della Valpolicella,Merlot,4.5,6424
Pietro Dal Cero Amarone della Valpolicella,Chardonnay,4.5,6424
Barolo Cascina Francia,Merlot,4.5,6045
Barolo Cascina Francia,Chardonnay,4.5,6045
Bibbona,Merlot,4.5,5981
Bibbona,Chardonnay,4.5,5981
Gaia & Rey Langhe,Merlot,4.5,5909
Gaia & Rey Langhe,Chardonnay,4.5,5909
Messorio,Merlot,4.5,5514
Messorio,Chardonnay,4.5,5514
Redigaffi Toscana,Merlot,4.5,5212
Redigaffi Toscana,Chardonnay,4.5,5212
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,Merlot,4.5,5016
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,Chardonnay,4.5,5016
Campolongo di Torbe Amarone della Valpolicella Classico,Merlot,4.5,4392
Campolongo di Torbe Amarone della Valpolicella Classico,Chardonnay,4.5,4392
Brunello di Montalcino,Merlot,4.5,4357
Brunello di Montalcino,Chardonnay,4.5,4357
Pieve Santa Restituta Sugarille Brunello di Montalcino,Merlot,4.5,3717
Pieve Santa Restituta Sugarille Brunello di Montalcino,Chardonnay,4.5,3717
Brunello di Montalcino Riserva Madonna del Piano,Merlot,4.5,3506
Brunello di Montalcino Riserva Madonna del Piano,Chardonnay,4.5,3506
Pieve Santa Restituta Rennina Brunello di Montalcino,Merlot,4.5,3393
Pieve Santa Restituta Rennina Brunello di Montalcino,Chardonnay,4.5,3393
Mazzano Amarone Della Valpolicella Classico,Merlot,4.5,3276
Mazzano Amarone Della Valpolicella Classico,Chardonnay,4.5,3276
Darmagi Langhe,Merlot,4.5,3184
Darmagi Langhe,Chardonnay,4.5,3184
Cabernet Sauvignon,Cabernet Sauvignon,4.5,3087
Toscana Rosso,Merlot,4.5,2799
Toscana Rosso,Chardonnay,4.5,2799
Madonna delle Grazie Brunello di Montalcino,Merlot,4.5,2747
Madonna delle Grazie Brunello di Montalcino,Chardonnay,4.5,2747
Brunello di Montalcino,Merlot,4.5,2623
Brunello di Montalcino,Chardonnay,4.5,2623
Conteisa Langhe,Merlot,4.5,2295
Conteisa Langhe,Chardonnay,4.5,2295
Ca’ del Merlo Rosso Veneto,Merlot,4.5,2198
Ca’ del Merlo Rosso Veneto,Chardonnay,4.5,2198
Toscana,Merlot,4.5,2185
Toscana,Chardonnay,4.5,2185
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,Merlot,4.5,2165
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,Chardonnay,4.5,2165
Cerretta Barolo Riserva (Vigna Bricco),Merlot,4.5,2065
Cerretta Barolo Riserva (Vigna Bricco),Chardonnay,4.5,2065
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,Merlot,4.5,1971
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,Chardonnay,4.5,1971
La Muse,Cabernet Sauvignon,4.5,1948
Falletto Barolo Le Rocche del Falletto,Merlot,4.5,1883
Falletto Barolo Le Rocche del Falletto,Chardonnay,4.5,1883
Brunello di Montalcino Riserva,Merlot,4.5,1875
Brunello di Montalcino Riserva,Chardonnay,4.5,1875
Barolo Riserva Granbussia,Merlot,4.5,1728
Barolo Riserva Granbussia,Chardonnay,4.5,1728
Le Désir,Cabernet Sauvignon,4.5,1694
Baffonero Maremma Toscana,Merlot,4.5,1682
Baffonero Maremma Toscana,Chardonnay,4.5,1682
Rocche dell'Annunziata Barolo Riserva,Merlot,4.5,1609
Rocche dell'Annunziata Barolo Riserva,Chardonnay,4.5,1609
Barolo Bussia Romirasco,Merlot,4.5,1544
Barolo Bussia Romirasco,Chardonnay,4.5,1544
Brunello di Montalcino,Merlot,4.5,1365
Brunello di Montalcino,Chardonnay,4.5,1365
Blueline Estate Cabernet Sauvignon,Cabernet Sauvignon,4.5,1321
Lupi e Sirene Riserva,Merlot,4.5,1292
Lupi e Sirene Riserva,Chardonnay,4.5,1292
Brunate  Barolo,Merlot,4.5,1289
Brunate  Barolo,Chardonnay,4.5,1289
Rocche dell'Annunziata Torriglione Barolo,Merlot,4.5,1222
Rocche dell'Annunziata Torriglione Barolo,Chardonnay,4.5,1222
Kapnios Aglianico,Merlot,4.5,1134
Kapnios Aglianico,Chardonnay,4.5,1134
Campogiovanni Brunello di Montalcino Riserva Il Quercione,Merlot,4.5,1107
Campogiovanni Brunello di Montalcino Riserva Il Quercione,Chardonnay,4.5,1107
Toscana Bianco,Merlot,4.5,833
Toscana Bianco,Chardonnay,4.5,833
Amarone della Valpolicella,Merlot,4.5,749
Amarone della Valpolicella,Chardonnay,4.5,749
Magma,Merlot,4.5,748
Magma,Chardonnay,4.5,748
Amarone della Valpolicella Classico Mater,Merlot,4.5,739
Amarone della Valpolicella Classico Mater,Chardonnay,4.5,739
Lilium Est Amarone Della Valpolicella Riserva,Merlot,4.5,733
Lilium Est Amarone Della Valpolicella Riserva,Chardonnay,4.5,733
Per Sempre Syrah Toscana,Merlot,4.5,711
Per Sempre Syrah Toscana,Chardonnay,4.5,711
Il San Lorenzo Bianco,Merlot,4.5,673
Il San Lorenzo Bianco,Chardonnay,4.5,673
Alàuda,Merlot,4.5,670
Alàuda,Chardonnay,4.5,670
Brunello di Montalcino Riserva,Merlot,4.5,665
Brunello di Montalcino Riserva,Chardonnay,4.5,665
Kupra Marche,Merlot,4.5,637
Kupra Marche,Chardonnay,4.5,637
Crichet Pajè Barbaresco,Merlot,4.5,584
Crichet Pajè Barbaresco,Chardonnay,4.5,584
Vigna Grande Cerzito Taurasi Riserva,Merlot,4.5,581
Vigna Grande Cerzito Taurasi Riserva,Chardonnay,4.5,581
Amarone Stella,Merlot,4.5,533
Amarone Stella,Chardonnay,4.5,533
Rujno Rosso,Merlot,4.5,532
Rujno Rosso,Chardonnay,4.5,532
Lux Vitis,Merlot,4.5,530
Lux Vitis,Chardonnay,4.5,530
LR,Merlot,4.5,503
LR,Chardonnay,4.5,503
Ferro,Merlot,4.5,499
Ferro,Chardonnay,4.5,499
Chloe Chardonnay,Cabernet Sauvignon,4.5,458
Red Blend,Cabernet Sauvignon,4.5,457
Barolo Riserva Cannubi 1752,Merlot,4.5,451
Barolo Riserva Cannubi 1752,Chardonnay,4.5,451
Grande Cuvée I Terlaner,Merlot,4.5,411
Grande Cuvée I Terlaner,Chardonnay,4.5,411
Grace Vineyard Pinot Noir,Cabernet Sauvignon,4.5,385
Es Riserva,Merlot,4.5,371
Es Riserva,Chardonnay,4.5,371
Riserva vecchie viti dei Capalot e delle Brunate Barolo,Merlot,4.5,338
Riserva vecchie viti dei Capalot e delle Brunate Barolo,Chardonnay,4.5,338
Finn Pinot Noir,Cabernet Sauvignon,4.5,331
'Giulio Ferrari' Riserva del Fondatore Rosé,Merlot,4.5,308
'Giulio Ferrari' Riserva del Fondatore Rosé,Chardonnay,4.5,308
Habemus Lazio Rosso (Etichetta Rossa),Merlot,4.5,298
Habemus Lazio Rosso (Etichetta Rossa),Chardonnay,4.5,298
NŌ Rosso,Merlot,4.5,297
NŌ Rosso,Chardonnay,4.5,297
Quarto Vecchio Amarone della Valpolicella Classico Riserva,Merlot,4.5,292
Quarto Vecchio Amarone della Valpolicella Classico Riserva,Chardonnay,4.5,292
Pym-Rae Red Blend,Cabernet Sauvignon,4.5,273
Mark Bradford Vineyard Pinot Noir,Cabernet Sauvignon,4.5,254
Cannubi Barolo,Merlot,4.5,228
Cannubi Barolo,Chardonnay,4.5,228
Amarone Senza Titolo,Merlot,4.5,225
Amarone Senza Titolo,Chardonnay,4.5,225
Rocche dell'Annunziata Barolo,Merlot,4.5,218
Rocche dell'Annunziata Barolo,Chardonnay,4.5,218
Cabochon Doppio Zero,Merlot,4.5,217
Cabochon Doppio Zero,Chardonnay,4.5,217
Vigna del Suolo Brunello di Montalcino,Merlot,4.5,201
Vigna del Suolo Brunello di Montalcino,Chardonnay,4.5,201
Barbaresco Albesani,Merlot,4.5,183
Barbaresco Albesani,Chardonnay,4.5,183
Collina Rionda di Serralunga Barolo,Merlot,4.5,156
Collina Rionda di Serralunga Barolo,Chardonnay,4.5,156
Vite Talin Barolo,Merlot,4.5,131
Vite Talin Barolo,Chardonnay,4.5,131
Rocche di Castiglione Barolo,Merlot,4.5,131
Rocche di Castiglione Barolo,Chardonnay,4.5,131
Gorgona Rosso,Merlot,4.5,119
Gorgona Rosso,Chardonnay,4.5,119
Bentrock Vineyard Chardonnay,Cabernet Sauvignon,4.5,118
Fossati Barolo,Merlot,4.5,116
Fossati Barolo,Chardonnay,4.5,116
Regina del Bosco R.Quarantottomesi,Merlot,4.5,109
Regina del Bosco R.Quarantottomesi,Chardonnay,4.5,109
Bruno Lunelli Riserva,Merlot,4.5,96
Bruno Lunelli Riserva,Chardonnay,4.5,96
Duna Mirante Primitivo di Manduria,Merlot,4.5,96
Duna Mirante Primitivo di Manduria,Chardonnay,4.5,96
Rosso,Merlot,4.5,88
Rosso,Chardonnay,4.5,88
Ciliegio Amarone della Valpolicella,Merlot,4.5,76
Ciliegio Amarone della Valpolicella,Chardonnay,4.5,76
Petrucci Melo,Merlot,4.5,61
Petrucci Melo,Chardonnay,4.5,61
Raut Lagrein,Merlot,4.5,58
Raut Lagrein,Chardonnay,4.5,58
Barolo Riserva Speciale Granbussia,Merlot,4.5,56
Barolo Riserva Speciale Granbussia,Chardonnay,4.5,56
Alpine Hillside Pinot Noir,Cabernet Sauvignon,4.5,46
Grenache,Cabernet Sauvignon,4.5,34
Charity Edition Nebbiolo d'Alba Arione,Merlot,4.5,29
Charity Edition Nebbiolo d'Alba Arione,Chardonnay,4.5,29
Recioto della Valpolicella Classico Riserva,Merlot,4.5,27
Recioto della Valpolicella Classico Riserva,Chardonnay,4.5,27
Boghis Climat,Merlot,4.5,27
Boghis Climat,Chardonnay,4.5,27
ARTEMIS Cabernet Sauvignon,Cabernet Sauvignon,4.4,81351
Amarone della Valpolicella Classico,Merlot,4.4,48329
Amarone della Valpolicella Classico,Chardonnay,4.4,48329
Alexander Valley Cabernet Sauvignon,Cabernet Sauvignon,4.4,46066
Castello della Sala Cervaro della Sala,Merlot,4.4,30203
Castello della Sala Cervaro della Sala,Chardonnay,4.4,30203
Cabernet Sauvignon,Cabernet Sauvignon,4.4,28544
Eight Years In The Desert,Cabernet Sauvignon,4.4,27195
Brunello di Montalcino,Merlot,4.4,25989
Brunello di Montalcino,Chardonnay,4.4,25989
Pieve Santa Restituta Brunello di Montalcino,Merlot,4.4,21867
Pieve Santa Restituta Brunello di Montalcino,Chardonnay,4.4,21867
Old Vines Primitivo di Manduria,Merlot,4.4,20904
Old Vines Primitivo di Manduria,Chardonnay,4.4,20904
Amarone della Valpolicella Classico,Merlot,4.4,18720
Amarone della Valpolicella Classico,Chardonnay,4.4,18720
Luce,Merlot,4.4,17470
Luce,Chardonnay,4.4,17470
Turriga Isola dei Nuraghi,Merlot,4.4,14641
Turriga Isola dei Nuraghi,Chardonnay,4.4,14641
Georges De Latour Private Reserve Cabernet Sauvignon,Cabernet Sauvignon,4.4,12652
Evenstad Reserve Pinot Noir,Cabernet Sauvignon,4.4,11531
Paleo Rosso,Merlot,4.4,10940
Paleo Rosso,Chardonnay,4.4,10940
Saffredi,Merlot,4.4,10499
Saffredi,Chardonnay,4.4,10499
Guerriero della Terra,Merlot,4.4,10185
Guerriero della Terra,Chardonnay,4.4,10185
Brunello di Montalcino,Merlot,4.4,9257
Brunello di Montalcino,Chardonnay,4.4,9257
Brunello di Montalcino,Merlot,4.4,9171
Brunello di Montalcino,Chardonnay,4.4,9171
50 & 50,Merlot,4.4,9157
50 & 50,Chardonnay,4.4,9157
Bolgheri Superiore,Merlot,4.4,8918
Bolgheri Superiore,Chardonnay,4.4,8918
Quarz Sauvignon,Merlot,4.4,8884
Quarz Sauvignon,Chardonnay,4.4,8884
Toscana I Sodi di San Niccolo,Merlot,4.4,8853
Toscana I Sodi di San Niccolo,Chardonnay,4.4,8853
Siepi,Merlot,4.4,8129
Siepi,Chardonnay,4.4,8129
Campo León Amarone della Valpolicella,Merlot,4.4,7778
Campo León Amarone della Valpolicella,Chardonnay,4.4,7778
Kairos,Merlot,4.4,7364
Kairos,Chardonnay,4.4,7364
Les Noisetiers,Cabernet Sauvignon,4.4,7035
Barolo Monprivato,Merlot,4.4,6966
Barolo Monprivato,Chardonnay,4.4,6966
Vürsù Barolo Campè,Merlot,4.4,6260
Vürsù Barolo Campè,Chardonnay,4.4,6260
Brunello di Montalcino  Montosoli,Merlot,4.4,6176
Brunello di Montalcino  Montosoli,Chardonnay,4.4,6176
Trebbiano d'Abruzzo,Merlot,4.4,5834
Trebbiano d'Abruzzo,Chardonnay,4.4,5834
Ornato Barolo,Merlot,4.4,5469
