wine_name,grape_name,wine_ratings_average,wine_ratings_count
Ornato Barolo,Chardonnay,4.4,5469
Lagrein Riserva Porphyr,Merlot,4.4,5123
Lagrein Riserva Porphyr,Chardonnay,4.4,5123
Campo dei Gigli Amarone della Valpolicella,Merlot,4.4,5050
Campo dei Gigli Amarone della Valpolicella,Chardonnay,4.4,5050
Beyond the Clouds,Merlot,4.4,4760
Beyond the Clouds,Chardonnay,4.4,4760
Altero Brunello di Montalcino,Merlot,4.4,4620
Altero Brunello di Montalcino,Chardonnay,4.4,4620
Poggio Al Vento Brunello di Montalcino Riserva,Merlot,4.4,4542
Poggio Al Vento Brunello di Montalcino Riserva,Chardonnay,4.4,4542
Barolo Bussia,Merlot,4.4,4525
Barolo Bussia,Chardonnay,4.4,4525
Vürsù Barbaresco Starderi,Merlot,4.4,4414
Vürsù Barbaresco Starderi,Chardonnay,4.4,4414
Lupicaia,Merlot,4.4,4414
Lupicaia,Chardonnay,4.4,4414
Barolo Cannubi Boschis,Merlot,4.4,4298
Barolo Cannubi Boschis,Chardonnay,4.4,4298
Cinque Autoctoni Collection Limited Release,Merlot,4.4,4281
Cinque Autoctoni Collection Limited Release,Chardonnay,4.4,4281
Vürsù Barbaresco Gallina,Merlot,4.4,4262
Vürsù Barbaresco Gallina,Chardonnay,4.4,4262
Amarone della Valpolicella Vigna Garzon,Merlot,4.4,4227
Amarone della Valpolicella Vigna Garzon,Chardonnay,4.4,4227
Barolo Ginestra Casa Maté,Merlot,4.4,4116
Barolo Ginestra Casa Maté,Chardonnay,4.4,4116
L'Apparita,Merlot,4.4,3836
L'Apparita,Chardonnay,4.4,3836
Poggio Alle Nane Maremma Toscana,Merlot,4.4,3509
Poggio Alle Nane Maremma Toscana,Chardonnay,4.4,3509
Falletto Barbaresco Asili,Merlot,4.4,3450
Falletto Barbaresco Asili,Chardonnay,4.4,3450
Barolo Bussia Cicala,Merlot,4.4,3346
Barolo Bussia Cicala,Chardonnay,4.4,3346
Guerriero del Mare,Merlot,4.4,3290
Guerriero del Mare,Chardonnay,4.4,3290
Vürsù Barbaresco Valeirano,Merlot,4.4,3263
Vürsù Barbaresco Valeirano,Chardonnay,4.4,3263
d'Alceo,Merlot,4.4,3133
d'Alceo,Chardonnay,4.4,3133
Barolo Enrico VI,Merlot,4.4,3107
Barolo Enrico VI,Chardonnay,4.4,3107
Altagracia Cabernet Sauvignon,Cabernet Sauvignon,4.4,3083
Ai Suma Barbera d'Asti,Merlot,4.4,3012
Ai Suma Barbera d'Asti,Chardonnay,4.4,3012
Il Bacca Old Vine Primitivo di Manduria,Merlot,4.4,2933
Il Bacca Old Vine Primitivo di Manduria,Chardonnay,4.4,2933
Barolo Bricco Rocche,Merlot,4.4,2923
Barolo Bricco Rocche,Chardonnay,4.4,2923
Campo del Drago Brunello di Montalcino,Merlot,4.4,2854
Campo del Drago Brunello di Montalcino,Chardonnay,4.4,2854
Cabernet Sauvignon,Cabernet Sauvignon,4.4,2830
Amarone della Valpolicella,Merlot,4.4,2680
Amarone della Valpolicella,Chardonnay,4.4,2680
Amarone della Valpolicella,Merlot,4.4,2610
Amarone della Valpolicella,Chardonnay,4.4,2610
Arborina Barolo,Merlot,4.4,2527
Arborina Barolo,Chardonnay,4.4,2527
Vigna Cappella di S. Stefano Perno Barolo,Merlot,4.4,2514
Vigna Cappella di S. Stefano Perno Barolo,Chardonnay,4.4,2514
80 Vecchie Vigne Primitivo di Manduria Old Vines,Merlot,4.4,2476
80 Vecchie Vigne Primitivo di Manduria Old Vines,Chardonnay,4.4,2476
Graticciaia,Merlot,4.4,2451
Graticciaia,Chardonnay,4.4,2451
Cabernet Sauvignon,Merlot,4.4,2408
Cabernet Sauvignon,Chardonnay,4.4,2408
Barolo Bricco Gattera,Merlot,4.4,2365
Barolo Bricco Gattera,Chardonnay,4.4,2365
Duemani Cabernet Franc,Merlot,4.4,2339
Duemani Cabernet Franc,Chardonnay,4.4,2339
Vittorio Moretti,Merlot,4.4,2025
Vittorio Moretti,Chardonnay,4.4,2025
Tenuta Montebello Picconero,Merlot,4.4,2011
Tenuta Montebello Picconero,Chardonnay,4.4,2011
Merlot,Cabernet Sauvignon,4.4,1922
Vin Santo di Montepulciano Occhio di Pernice,Merlot,4.4,1867
Vin Santo di Montepulciano Occhio di Pernice,Chardonnay,4.4,1867
Pegrandi Amarone della Valpolicella Classico,Merlot,4.4,1833
Pegrandi Amarone della Valpolicella Classico,Chardonnay,4.4,1833
Falletto Barolo,Merlot,4.4,1760
Falletto Barolo,Chardonnay,4.4,1760
One Sixteen Chardonnay,Cabernet Sauvignon,4.4,1753
Giramonte Toscana,Merlot,4.4,1678
Giramonte Toscana,Chardonnay,4.4,1678
Brunello di Montalcino Riserva,Merlot,4.4,1665
Brunello di Montalcino Riserva,Chardonnay,4.4,1665
Barolo Rocche,Merlot,4.4,1615
Barolo Rocche,Chardonnay,4.4,1615
Brunello di Montalcino Riserva,Merlot,4.4,1506
Brunello di Montalcino Riserva,Chardonnay,4.4,1506
La Serra Barolo,Merlot,4.4,1449
La Serra Barolo,Chardonnay,4.4,1449
Colore Toscana,Merlot,4.4,1415
Colore Toscana,Chardonnay,4.4,1415
Vigneto Bellavista Chianti Classico,Merlot,4.4,1402
Vigneto Bellavista Chianti Classico,Chardonnay,4.4,1402
Montepulciano d'Abruzzo,Merlot,4.4,1398
Montepulciano d'Abruzzo,Chardonnay,4.4,1398
Helichrysum Brunello di Montalcino,Merlot,4.4,1370
Helichrysum Brunello di Montalcino,Chardonnay,4.4,1370
Amarone della Valpolicella,Merlot,4.4,1292
Amarone della Valpolicella,Chardonnay,4.4,1292
Barolo Rocche di Castiglione,Merlot,4.4,1272
Barolo Rocche di Castiglione,Chardonnay,4.4,1272
Big'd Big Barolo,Merlot,4.4,1148
Big'd Big Barolo,Chardonnay,4.4,1148
Côte à Côte Estate,Cabernet Sauvignon,4.4,1133
VT Vendemmia Tardiva,Merlot,4.4,1096
VT Vendemmia Tardiva,Chardonnay,4.4,1096
Harimann Montepulciano d'Abruzzo,Merlot,4.4,1086
Harimann Montepulciano d'Abruzzo,Chardonnay,4.4,1086
Calle Merlot Rosso Veronese,Merlot,4.4,1053
Calle Merlot Rosso Veronese,Chardonnay,4.4,1053
Amarone della Valpolicella Classico,Merlot,4.4,1029
Amarone della Valpolicella Classico,Chardonnay,4.4,1029
Gallina Barbaresco,Merlot,4.4,1017
Gallina Barbaresco,Chardonnay,4.4,1017
Brunello di Montalcino Riserva,Merlot,4.4,987
Brunello di Montalcino Riserva,Chardonnay,4.4,987
Palazzi Rosso Toscana,Merlot,4.4,961
Palazzi Rosso Toscana,Chardonnay,4.4,961
Amarone della Valpolicella Riserva,Merlot,4.4,958
Amarone della Valpolicella Riserva,Chardonnay,4.4,958
Vigna Colonnello Barolo Riserva Bussia,Merlot,4.4,957
Vigna Colonnello Barolo Riserva Bussia,Chardonnay,4.4,957
Barolo Riserva Leon,Merlot,4.4,948
Barolo Riserva Leon,Chardonnay,4.4,948
Gabbro Toscana,Merlot,4.4,921
Gabbro Toscana,Chardonnay,4.4,921
Mossone,Merlot,4.4,892
Mossone,Chardonnay,4.4,892
Campo Alla Sughera,Merlot,4.4,888
Campo Alla Sughera,Chardonnay,4.4,888
Brunello di Montalcino Riserva,Merlot,4.4,801
Brunello di Montalcino Riserva,Chardonnay,4.4,801
Valmezzane Amarone della Valpolicella,Merlot,4.4,799
Valmezzane Amarone della Valpolicella,Chardonnay,4.4,799
Barrosu Cannonau di Sardegna Riserva Franzisca,Merlot,4.4,794
Barrosu Cannonau di Sardegna Riserva Franzisca,Chardonnay,4.4,794
Brunello di Montalcino Riserva,Merlot,4.4,714
Brunello di Montalcino Riserva,Chardonnay,4.4,714
Semel Pater,Merlot,4.4,710
Semel Pater,Chardonnay,4.4,710
Barbaresco Asili,Merlot,4.4,710
Barbaresco Asili,Chardonnay,4.4,710
Fanòi Primitivo,Merlot,4.4,695
Fanòi Primitivo,Chardonnay,4.4,695
Asili Barbaresco Vecchie Viti,Merlot,4.4,668
Asili Barbaresco Vecchie Viti,Chardonnay,4.4,668
Gorgona,Merlot,4.4,592
Gorgona,Chardonnay,4.4,592
Montefico Barbaresco Vecchie Viti,Merlot,4.4,581
Montefico Barbaresco Vecchie Viti,Chardonnay,4.4,581
Paralupi Appassimento,Merlot,4.4,575
Paralupi Appassimento,Chardonnay,4.4,575
Luminaria Primitivo di Manduria,Merlot,4.4,563
Luminaria Primitivo di Manduria,Chardonnay,4.4,563
Giorgio Bartholomäus,Merlot,4.4,554
Giorgio Bartholomäus,Chardonnay,4.4,554
123 Brunello di Montalcino Riserva,Merlot,4.4,525
123 Brunello di Montalcino Riserva,Chardonnay,4.4,525
50 Old Vines Vecchie Vigne Negroamaro,Merlot,4.4,510
50 Old Vines Vecchie Vigne Negroamaro,Chardonnay,4.4,510
Amarone Classico Monte Danieli,Merlot,4.4,504
Amarone Classico Monte Danieli,Chardonnay,4.4,504
Novicium Estate,Cabernet Sauvignon,4.4,495
Librante Primitivo di Manduria,Merlot,4.4,491
Librante Primitivo di Manduria,Chardonnay,4.4,491
Fort Ross Seaview Home Field Pinot Noir,Cabernet Sauvignon,4.4,483
Gold Series Syrah,Cabernet Sauvignon,4.4,477
Vigna Madonna Assunta La Villa Barolo Riserva,Merlot,4.4,470
Vigna Madonna Assunta La Villa Barolo Riserva,Chardonnay,4.4,470
Brunello di Montalcino Riserva,Merlot,4.4,461
Brunello di Montalcino Riserva,Chardonnay,4.4,461
Cěrǎsum Riserva Amarone della Valpolicella,Merlot,4.4,460
Cěrǎsum Riserva Amarone della Valpolicella,Chardonnay,4.4,460
Giunonico Riserva Primitivo di Manduria,Merlot,4.4,460
Giunonico Riserva Primitivo di Manduria,Chardonnay,4.4,460
Falletto Barbaresco Rabaja,Merlot,4.4,448
Falletto Barbaresco Rabaja,Chardonnay,4.4,448
Brunello di Montalcino Riserva,Merlot,4.4,437
Brunello di Montalcino Riserva,Chardonnay,4.4,437
Guglielmi di Jago Amarone della Valpolicella Classico,Merlot,4.4,408
Guglielmi di Jago Amarone della Valpolicella Classico,Chardonnay,4.4,408
Il Ritrovo,Merlot,4.4,363
Il Ritrovo,Chardonnay,4.4,363
Brunello di Montalcino Riserva,Merlot,4.4,351
Brunello di Montalcino Riserva,Chardonnay,4.4,351
Brunello di Montalcino Riserva,Merlot,4.4,339
Brunello di Montalcino Riserva,Chardonnay,4.4,339
Brunello di Montalcino Riserva,Merlot,4.4,333
Brunello di Montalcino Riserva,Chardonnay,4.4,333
Brunello di Montalcino Riserva,Merlot,4.4,330
Brunello di Montalcino Riserva,Chardonnay,4.4,330
Graal Amarone della Valpolicella Valpantena,Merlot,4.4,328
Graal Amarone della Valpolicella Valpantena,Chardonnay,4.4,328
Brunello di Montalcino Riserva,Merlot,4.4,306
Brunello di Montalcino Riserva,Chardonnay,4.4,306
Triglia Negroamaro Rosato,Merlot,4.4,278
Triglia Negroamaro Rosato,Chardonnay,4.4,278
Brunello di Montalcino Riserva,Merlot,4.4,273
Brunello di Montalcino Riserva,Chardonnay,4.4,273
Barolo Riserva,Merlot,4.4,265
Barolo Riserva,Chardonnay,4.4,265
Hyde Vineyard Chardonnay,Cabernet Sauvignon,4.4,265
Il 'Divasco' Riserva,Merlot,4.4,255
Il 'Divasco' Riserva,Chardonnay,4.4,255
Belles Soeurs Cuvée Pinot Noir,Cabernet Sauvignon,4.4,229
Lot 1,Cabernet Sauvignon,4.4,226
Gallina Barbaresco,Merlot,4.4,219
Gallina Barbaresco,Chardonnay,4.4,219
Le Lucére Brunello di Montalcino Riserva,Merlot,4.4,213
Le Lucére Brunello di Montalcino Riserva,Chardonnay,4.4,213
Ipsus Chianti Classico Gran Selezione,Merlot,4.4,185
Ipsus Chianti Classico Gran Selezione,Chardonnay,4.4,185
110 e Lode Merlot,Merlot,4.4,174
110 e Lode Merlot,Chardonnay,4.4,174
Freienfeld Cabernet Sauvignon Riserva,Merlot,4.4,173
Freienfeld Cabernet Sauvignon Riserva,Chardonnay,4.4,173
Predappio Massera,Merlot,4.4,161
Predappio Massera,Chardonnay,4.4,161
Roccolo Ludwig Barth von Barthenau,Merlot,4.4,155
Roccolo Ludwig Barth von Barthenau,Chardonnay,4.4,155
Barolo Bussia Vigna Munie,Merlot,4.4,141
Barolo Bussia Vigna Munie,Chardonnay,4.4,141
Trebbiano d'Abruzzo,Merlot,4.4,140
Trebbiano d'Abruzzo,Chardonnay,4.4,140
Annunziata Barolo Riserva,Merlot,4.4,138
Annunziata Barolo Riserva,Chardonnay,4.4,138
Cannubi Barolo,Merlot,4.4,82
Cannubi Barolo,Chardonnay,4.4,82
Costasera Amarone della Valpolicella Classico,Merlot,4.3,93397
Costasera Amarone della Valpolicella Classico,Chardonnay,4.3,93397
Amarone della Valpolicella Classico,Merlot,4.3,77515
Amarone della Valpolicella Classico,Chardonnay,4.3,77515
Le Serre Nuove,Merlot,4.3,50411
Le Serre Nuove,Chardonnay,4.3,50411
Pian delle Vigne Brunello di Montalcino,Merlot,4.3,31363
Pian delle Vigne Brunello di Montalcino,Chardonnay,4.3,31363
Amarone della Valpolicella Classico,Merlot,4.3,27794
Amarone della Valpolicella Classico,Chardonnay,4.3,27794
Dagromis Barolo,Merlot,4.3,20685
Dagromis Barolo,Chardonnay,4.3,20685
Chardonnay,Cabernet Sauvignon,4.3,18694
Bricco dell'Uccellone Barbera d'Asti,Merlot,4.3,17625
Bricco dell'Uccellone Barbera d'Asti,Chardonnay,4.3,17625
Il Pino di Biserno,Merlot,4.3,17566
Il Pino di Biserno,Chardonnay,4.3,17566
Mille E Una Notte,Merlot,4.3,15865
Mille E Una Notte,Chardonnay,4.3,15865
Bolgheri Superiore,Merlot,4.3,14242
Bolgheri Superiore,Chardonnay,4.3,14242
Chateau Buena Vista Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,4.3,13415
Barolo Riserva,Merlot,4.3,12663
Barolo Riserva,Chardonnay,4.3,12663
Oreno Toscana,Merlot,4.3,12407
Oreno Toscana,Chardonnay,4.3,12407
Cepparello Red,Merlot,4.3,12191
Cepparello Red,Chardonnay,4.3,12191
Brunello di Montalcino,Merlot,4.3,8875
Brunello di Montalcino,Chardonnay,4.3,8875
Brunello di Montalcino,Merlot,4.3,8356
Brunello di Montalcino,Chardonnay,4.3,8356
Galatrona,Merlot,4.3,7971
Galatrona,Chardonnay,4.3,7971
Brunello di Montalcino,Merlot,4.3,7929
Brunello di Montalcino,Chardonnay,4.3,7929
Brunello di Montalcino,Merlot,4.3,7546
Brunello di Montalcino,Chardonnay,4.3,7546
Barbera d'Alba Vigna Francia,Merlot,4.3,7315
Barbera d'Alba Vigna Francia,Chardonnay,4.3,7315
Brunello di Montalcino Riserva Vigna Paganelli,Merlot,4.3,7123
Brunello di Montalcino Riserva Vigna Paganelli,Chardonnay,4.3,7123
Ribolla Gialla,Merlot,4.3,7018
Ribolla Gialla,Chardonnay,4.3,7018
Brunello di Montalcino,Merlot,4.3,6683
Brunello di Montalcino,Chardonnay,4.3,6683
Castello della Sala Muffato della Sala,Merlot,4.3,6356
Castello della Sala Muffato della Sala,Chardonnay,4.3,6356
TD9,Cabernet Sauvignon,4.3,6056
Brunello di Montalcino,Merlot,4.3,5608
Brunello di Montalcino,Chardonnay,4.3,5608
Brunello di Montalcino,Merlot,4.3,5596
Brunello di Montalcino,Chardonnay,4.3,5596
Barbaresco Rabajà,Merlot,4.3,5469
Barbaresco Rabajà,Chardonnay,4.3,5469
Amarone della Valpolicella Classico,Merlot,4.3,5450
Amarone della Valpolicella Classico,Chardonnay,4.3,5450
25 anni Montefalco Sagrantino,Merlot,4.3,5419
25 anni Montefalco Sagrantino,Chardonnay,4.3,5419
Riserva Nova Domus Terlaner,Merlot,4.3,5250
Riserva Nova Domus Terlaner,Chardonnay,4.3,5250
Brunello di Montalcino,Merlot,4.3,5202
Brunello di Montalcino,Chardonnay,4.3,5202
Barolo Le Vigne,Merlot,4.3,5026
Barolo Le Vigne,Chardonnay,4.3,5026
Lion Tamer Napa Valley Red Blend,Cabernet Sauvignon,4.3,4981
Bric Dël Fiasc Barolo,Merlot,4.3,4947
Bric Dël Fiasc Barolo,Chardonnay,4.3,4947
Barolo Sorì Ginestra,Merlot,4.3,4827
Barolo Sorì Ginestra,Chardonnay,4.3,4827
Percarlo,Merlot,4.3,4808
Percarlo,Chardonnay,4.3,4808
Amarone della Valpolicella,Merlot,4.3,4689
Amarone della Valpolicella,Chardonnay,4.3,4689
Barolo Brunate,Merlot,4.3,4295
Barolo Brunate,Chardonnay,4.3,4295
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,Merlot,4.3,4229
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,Chardonnay,4.3,4229
Toscana Batar,Merlot,4.3,4187
Toscana Batar,Chardonnay,4.3,4187
Barolo Riserva Bricco Boschis Vigna San Giuseppe,Merlot,4.3,4030
Barolo Riserva Bricco Boschis Vigna San Giuseppe,Chardonnay,4.3,4030
Amarone della Valpolicella,Merlot,4.3,4014
Amarone della Valpolicella,Chardonnay,4.3,4014
Vecchie Vigne Brunello di Montalcino,Merlot,4.3,3868
Vecchie Vigne Brunello di Montalcino,Chardonnay,4.3,3868
Barolo Cerequio,Merlot,4.3,3839
Barolo Cerequio,Chardonnay,4.3,3839
Brunello di Montalcino,Merlot,4.3,3836
Brunello di Montalcino,Chardonnay,4.3,3836
Cà Bertoldi Amarone della Valpolicella Classico,Merlot,4.3,3708
Cà Bertoldi Amarone della Valpolicella Classico,Chardonnay,4.3,3708
Toscana Camartina,Merlot,4.3,3673
Toscana Camartina,Chardonnay,4.3,3673
Barolo Riserva Vigna Rionda,Merlot,4.3,3530
Barolo Riserva Vigna Rionda,Chardonnay,4.3,3530
Barolo Ciabot Mentin Ginestra,Merlot,4.3,3525
Barolo Ciabot Mentin Ginestra,Chardonnay,4.3,3525
Barolo Ginestra Vigna del Gris,Merlot,4.3,3333
Barolo Ginestra Vigna del Gris,Chardonnay,4.3,3333
Giallo d'Arles Greco di Tufo,Merlot,4.3,3274
Giallo d'Arles Greco di Tufo,Chardonnay,4.3,3274
Corte di Cama Sforzato di Valtellina,Merlot,4.3,3211
Corte di Cama Sforzato di Valtellina,Chardonnay,4.3,3211
Toscana Il Pareto,Merlot,4.3,3195
Toscana Il Pareto,Chardonnay,4.3,3195
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,Merlot,4.3,3121
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,Chardonnay,4.3,3121
Mongovone Barbera d'Asti Superiore,Merlot,4.3,2771
Mongovone Barbera d'Asti Superiore,Chardonnay,4.3,2771
Barolo Monvigliero,Merlot,4.3,2758
Barolo Monvigliero,Chardonnay,4.3,2758
Gewürztraminer Lunare,Merlot,4.3,2732
Gewürztraminer Lunare,Chardonnay,4.3,2732
Brunello di Montalcino,Merlot,4.3,2592
Brunello di Montalcino,Chardonnay,4.3,2592
6 Anime Puglia Rosso,Merlot,4.3,2476
6 Anime Puglia Rosso,Chardonnay,4.3,2476
Barolo Prapò,Merlot,4.3,2450
Barolo Prapò,Chardonnay,4.3,2450
Rocche di Castiglione Barolo,Merlot,4.3,2397
Rocche di Castiglione Barolo,Chardonnay,4.3,2397
Scrio,Merlot,4.3,2322
Scrio,Chardonnay,4.3,2322
Merlot (Signature),Cabernet Sauvignon,4.3,2312
Il Bricco Barbaresco,Merlot,4.3,2299
Il Bricco Barbaresco,Chardonnay,4.3,2299
Barbaresco Gaiun Martinenga,Merlot,4.3,2298
Barbaresco Gaiun Martinenga,Chardonnay,4.3,2298
Vigna Molsino,Merlot,4.3,2269
Vigna Molsino,Chardonnay,4.3,2269
Pietradonice,Merlot,4.3,2266
Pietradonice,Chardonnay,4.3,2266
Rapture Cabernet Sauvignon,Cabernet Sauvignon,4.3,2117
Royal St Robert Cuvée Pinot Noir,Cabernet Sauvignon,4.3,2099
Ulysses,Cabernet Sauvignon,4.3,1980
Amarone della Valpolicella Classico,Merlot,4.3,1940
Amarone della Valpolicella Classico,Chardonnay,4.3,1940
Barolo Paiagallo,Merlot,4.3,1917
Barolo Paiagallo,Chardonnay,4.3,1917
Pajè Barbaresco,Merlot,4.3,1910
Pajè Barbaresco,Chardonnay,4.3,1910
Barolo Cannubi,Merlot,4.3,1852
Barolo Cannubi,Chardonnay,4.3,1852
Brunello di Montalcino Riserva,Merlot,4.3,1825
Brunello di Montalcino Riserva,Chardonnay,4.3,1825
Amarone della Valpolicella,Merlot,4.3,1712
Amarone della Valpolicella,Chardonnay,4.3,1712
Amarone della Valpolicella Classico,Merlot,4.3,1670
Amarone della Valpolicella Classico,Chardonnay,4.3,1670
Barolo Brunate,Merlot,4.3,1482
Barolo Brunate,Chardonnay,4.3,1482
Brunello di Montalcino Riserva Pian di Conte,Merlot,4.3,1118
Brunello di Montalcino Riserva Pian di Conte,Chardonnay,4.3,1118
Sassella Nuova Regina Riserva,Merlot,4.3,987
Sassella Nuova Regina Riserva,Chardonnay,4.3,987
Piovesole Amarone della Valpolicella Classico,Merlot,4.3,868
Piovesole Amarone della Valpolicella Classico,Chardonnay,4.3,868
Brunello di Montalcino,Merlot,4.3,828
Brunello di Montalcino,Chardonnay,4.3,828
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Merlot,4.3,826
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Chardonnay,4.3,826
Rutherford Cabernet Sauvignon,Cabernet Sauvignon,4.3,655
Maggiarino Vino Nobile di Montepulciano,Merlot,4.3,555
Maggiarino Vino Nobile di Montepulciano,Chardonnay,4.3,555
Maria Adelaide Barbaresco,Merlot,4.3,501
Maria Adelaide Barbaresco,Chardonnay,4.3,501
Bolgheri Superiore Sondraia,Merlot,4.2,12843
Bolgheri Superiore Sondraia,Chardonnay,4.2,12843
Montepulciano d'Abruzzo,Merlot,4.2,10110
Montepulciano d'Abruzzo,Chardonnay,4.2,10110
Toscana,Merlot,4.2,7434
Toscana,Chardonnay,4.2,7434
Solare Toscana,Merlot,4.2,4961
Solare Toscana,Chardonnay,4.2,4961
Cresasso Corvina Veronese,Merlot,4.2,2333
Cresasso Corvina Veronese,Chardonnay,4.2,2333
Primitivo di Manduria,Merlot,4.2,2011
Primitivo di Manduria,Chardonnay,4.2,2011
Barolo Cerretta,Merlot,4.2,1921
Barolo Cerretta,Chardonnay,4.2,1921
Barolo Cannubi,Merlot,4.2,1801
Barolo Cannubi,Chardonnay,4.2,1801
Brunello di Montalcino,Merlot,4.2,1598
Brunello di Montalcino,Chardonnay,4.2,1598
La Ricolma,Merlot,4.2,1525
La Ricolma,Chardonnay,4.2,1525
Linticlarus Lagrein Riserva,Merlot,4.2,1387
Linticlarus Lagrein Riserva,Chardonnay,4.2,1387
Barolo Monvigliero,Merlot,4.2,1163
Barolo Monvigliero,Chardonnay,4.2,1163
Cuvée Kermesse Rosso,Merlot,4.2,1153
Cuvée Kermesse Rosso,Chardonnay,4.2,1153
Amarone Della Valpolicella Marta Galli,Merlot,4.2,1085
Amarone Della Valpolicella Marta Galli,Chardonnay,4.2,1085
Pochi Filagn Barbera d'Alba,Merlot,4.2,410
Pochi Filagn Barbera d'Alba,Chardonnay,4.2,410
